timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1685573420600,770,Your_Store_Link,200,OK,Usuarios 1-3,text,true,,28041,123,10,10,http://opencart.abstracta.us/,642,0,364
1685573420600,774,Your_Store_Link,200,OK,Usuarios 1-4,text,true,,28041,123,10,10,http://opencart.abstracta.us/,642,0,361
1685573420915,495,Your_Store_Link,200,OK,Usuarios 1-1,text,true,,28041,123,10,10,http://opencart.abstracta.us/,360,0,136
1685573421210,455,Your_Store_Link,200,OK,Usuarios 1-8,text,true,,28041,123,10,10,http://opencart.abstracta.us/,330,0,133
1685573421250,462,Your_Store_Link,200,OK,Usuarios 1-6,text,true,,28041,123,10,10,http://opencart.abstracta.us/,334,0,132
1685573421435,450,Your_Store_Link,200,OK,Usuarios 1-2,text,true,,28041,123,10,10,http://opencart.abstracta.us/,323,0,131
1685573422825,360,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-4,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,221,0,0
1685573422974,339,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-2,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,201,0,0
1685573422954,461,Your_Store_Link,200,OK,Usuarios 1-5,text,true,,28041,123,10,10,http://opencart.abstracta.us/,333,0,132
1685573423209,466,Your_Store_Link,200,OK,Usuarios 1-9,text,true,,28041,123,10,10,http://opencart.abstracta.us/,337,0,143
1685573423571,347,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-3,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,210,0,0
1685573423657,460,Your_Store_Link,200,OK,Usuarios 1-7,text,true,,28041,123,10,10,http://opencart.abstracta.us/,329,0,130
1685573424009,352,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-1,text,true,,35784,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=18,208,0,0
1685573424494,487,Your_Store_Link,200,OK,Usuarios 1-10,text,true,,28041,123,10,10,http://opencart.abstracta.us/,352,0,141
1685573425202,345,Your_Store_Link_Phones_All,200,OK,Usuarios 1-4,text,true,,31104,163,10,10,http://opencart.abstracta.us/index.php?route=product/category&path=24,205,0,0
1685573425265,353,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-8,text,true,,35784,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=18,210,0,0
1685573425455,331,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-7,text,true,,35784,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=18,199,0,0
1685573425613,331,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-6,text,true,,35784,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=18,202,0,0
1685573425928,329,Your_Store_Link_Phones_All,200,OK,Usuarios 1-1,text,true,,31104,163,9,9,http://opencart.abstracta.us/index.php?route=product/category&path=24,195,0,0
1685573426583,376,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-10,text,true,,35784,163,8,8,http://opencart.abstracta.us/index.php?route=product/category&path=18,239,0,0
1685573426630,348,Your_Store_Link_Phones_All,200,OK,Usuarios 1-2,text,true,,31104,163,8,8,http://opencart.abstracta.us/index.php?route=product/category&path=24,217,0,0
1685573427138,329,Your_Store_Link_Phones_All,200,OK,Usuarios 1-3,text,true,,31104,163,7,7,http://opencart.abstracta.us/index.php?route=product/category&path=24,195,0,0
1685573427270,336,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-5,text,true,,35784,163,6,6,http://opencart.abstracta.us/index.php?route=product/category&path=18,199,0,0
1685573427510,335,Your_Store_Link_Laptops_All,200,OK,Usuarios 1-9,text,true,,35784,163,6,6,http://opencart.abstracta.us/index.php?route=product/category&path=18,203,0,0
1685573428428,322,Your_Store_Link_Phones_All,200,OK,Usuarios 1-6,text,true,,31104,163,6,6,http://opencart.abstracta.us/index.php?route=product/category&path=24,194,0,0
1685573428735,337,Your_Store_Link_Phones_All,200,OK,Usuarios 1-7,text,true,,31104,163,5,5,http://opencart.abstracta.us/index.php?route=product/category&path=24,205,0,0
1685573429217,327,Your_Store_Link_Phones_All,200,OK,Usuarios 1-8,text,true,,31104,163,4,4,http://opencart.abstracta.us/index.php?route=product/category&path=24,198,0,0
1685573429527,338,Your_Store_Link_Phones_All,200,OK,Usuarios 1-10,text,true,,31104,163,3,3,http://opencart.abstracta.us/index.php?route=product/category&path=24,199,0,0
1685573431114,325,Your_Store_Link_Phones_All,200,OK,Usuarios 1-5,text,true,,31104,163,2,2,http://opencart.abstracta.us/index.php?route=product/category&path=24,192,0,0
1685573431233,326,Your_Store_Link_Phones_All,200,OK,Usuarios 1-9,text,true,,31104,163,1,1,http://opencart.abstracta.us/index.php?route=product/category&path=24,192,0,0
